Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
h03033;;;;VVM;;;;;no;Faktor;MODBUS_HOLDING_REGISTER;3033;1;;u8;1;10;5
h03059;;;;VVM;SYS;;;;yes;Heizung, autom.;MODBUS_HOLDING_REGISTER;3059;1;;u8;0;1;1
h03062;;;;;;;;;no;id:10881;MODBUS_HOLDING_REGISTER;3062;1;;u8;0;1;0
h03063;;;;;;;;;no;id:10890;MODBUS_HOLDING_REGISTER;3063;1;;u8;0;1;0
h03066;;;X;VVM;;;;;no;Aktive Tage;MODBUS_HOLDING_REGISTER;3066;1;;u8;0;127;0
h03067;;;X;VVM;;;;;no;Aktive Tage;MODBUS_HOLDING_REGISTER;3067;1;;u8;0;127;0
h03068;;;X;VVM;;;;;no;Aktive Tage;MODBUS_HOLDING_REGISTER;3068;1;;u8;0;127;0
h03069;;;X;VVM;;;;;no;Aktive Tage;MODBUS_HOLDING_REGISTER;3069;1;;u8;0;127;0
h03070;;;X;VVM;;;;;no;Aktive Tage;MODBUS_HOLDING_REGISTER;3070;1;;u8;0;127;0
h03088;;;X;VVM;;;;;no;Periode;MODBUS_HOLDING_REGISTER;3088;1;;u8;0;1;0
h03089;;;X;VVM;;;;Historie Jahre;no;Anzahl Jahre;MODBUS_HOLDING_REGISTER;3089;1;;u8;1;10;1
h03090;;;X;VVM;;;;;no;Monate;MODBUS_HOLDING_REGISTER;3090;1;;u32;0;4095;4095
h03099;;;;;;;;;no;id:2728;MODBUS_HOLDING_REGISTER;3099;1;;s32;0;9999999;0
h03102;;;;VVM;SYS;;;;yes;Betriebszeit;MODBUS_HOLDING_REGISTER;3102;1;min;s8;1;60;60
h03104;;;;;;;;;no;id:12650;MODBUS_HOLDING_REGISTER;3104;1;;-;-;-;-
h03144;;;;;;;;;no;id:12651;MODBUS_HOLDING_REGISTER;3144;1;;-;-;-;-
h03184;;;;;;;;;no;id:12652;MODBUS_HOLDING_REGISTER;3184;1;;-;-;-;-
h03224;;;;;;;;;no;id:12653;MODBUS_HOLDING_REGISTER;3224;1;;-;-;-;-
h03264;;;;;;;;;no;id:12654;MODBUS_HOLDING_REGISTER;3264;1;;-;-;-;-
h03304;;;;;;;;;no;id:12655;MODBUS_HOLDING_REGISTER;3304;1;;-;-;-;-
h03344;;;;;;;;;no;id:12656;MODBUS_HOLDING_REGISTER;3344;1;;-;-;-;-
h03384;;;;;;;;;no;id:12657;MODBUS_HOLDING_REGISTER;3384;1;;-;-;-;-
