Titel	Re­gister­typ	Re­gister	Divi­sions­faktor	Ein­heit	Vari­ablen­größe	Mindest­wert	Höchst­wert	Stan­dard­wert	
Smart energy source, Vorrang 4, Stopp GM	MODBUS_INPUT_REGISTER	729	1		s32	0	0	0
Smart energy source, Vorrang 3, Stopp GM	MODBUS_INPUT_REGISTER	731	1		s32	0	0	0
Smart energy source, Vorrang 2, Stopp GM	MODBUS_INPUT_REGISTER	733	1		s32	0	0	0
Smart energy source, Vorrang 1, Stopp GM	MODBUS_INPUT_REGISTER	735	1		s32	0	0	0
Smart energy source, GM kleinster Wert	MODBUS_INPUT_REGISTER	737	1		s32	0	0	0
Status Externer Assistent	MODBUS_INPUT_REGISTER	745	1		u8	0	0	0
Testassistent Wert	MODBUS_INPUT_REGISTER	746	1		u16	0	0	0
Vorübergehender Luxus erzwingt Brauchwasserbedarf	MODBUS_INPUT_REGISTER	747	1		u8	0	0	0
Smart energy source, Vorrang OPT10 für Brauchwasser	MODBUS_INPUT_REGISTER	757	1		u8	0	0	0
Smart energy source, Brauchwassererzeugung durch OPT zulassen	MODBUS_INPUT_REGISTER	758	1		u8	0	0	0
Holzkessel aktiviert	MODBUS_INPUT_REGISTER	759	1		u8	0	0	0
Zeit bis Enteisung (EB108)	MODBUS_INPUT_REGISTER	767	1	min	u16	0	0	0
Zeit bis Enteisung (EB107)	MODBUS_INPUT_REGISTER	792	1	min	u16	0	0	0
Zeit bis Enteisung (EB106)	MODBUS_INPUT_REGISTER	817	1	min	u16	0	0	0
Zeit bis Enteisung (EB105)	MODBUS_INPUT_REGISTER	842	1	min	u16	0	0	0
Zeit bis Enteisung (EB104)	MODBUS_INPUT_REGISTER	867	1	min	u16	0	0	0
Zeit bis Enteisung (EB103)	MODBUS_INPUT_REGISTER	892	1	min	u16	0	0	0
Zeit bis Enteisung (EB102)	MODBUS_INPUT_REGISTER	917	1	min	u16	0	0	0
Alarmnummer (EB100)	MODBUS_INPUT_REGISTER	935	1		u8	0	0	0
Ventilatordrehzahl (EB100)	MODBUS_INPUT_REGISTER	936	1	rpm	u16	0	0	0
Max. Ventilatordrehzahl (EB100)	MODBUS_INPUT_REGISTER	937	1	rpm	u16	0	0	0
Min. Ventilatordrehzahl (EB100)	MODBUS_INPUT_REGISTER	938	1	rpm	u16	0	0	0
